# trackType=Official Forecast Track,baseTime=2021-04-17T00:00:00Z
# DisturbanceId=ID2121_01
# CycloneName=SURIGAE
# MathType of Data
(Time->(Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,MeanWind10Percentile,MeanWind25Percentile,MeanWind75Percentile,MeanWind90Percentile,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius))
# Column Headings
Time[fmt=yyyy-MM-dd'T'HH:mm:ss'Z'],Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,MeanWind10Percentile,MeanWind25Percentile,MeanWind75Percentile,MeanWind90Percentile,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius
# Start of data
2021-04-12T00:00:00Z,5.8,141.1,1.0,0.0,1007.0,NaN,NaN,NaN,NaN,20.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-12T12:00:00Z,5.9,141.5,1.0,0.0,1005.0,NaN,NaN,NaN,NaN,20.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-13T00:00:00Z,7.1,139.9,1.0,0.0,1006.0,NaN,NaN,NaN,NaN,30.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-13T12:00:00Z,7.3,138.6,1.0,0.0,1006.0,NaN,NaN,NaN,NaN,30.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-14T00:00:00Z,8.2,137.0,6.0,1.0,1000.0,NaN,NaN,NaN,NaN,40.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180.0,NaN,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-14T12:00:00Z,8.7,136.7,6.0,1.0,998.0,NaN,NaN,NaN,NaN,40.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180.0,NaN,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-15T00:00:00Z,8.6,136.5,6.0,2.0,992.0,NaN,NaN,NaN,NaN,50.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180.0,NaN,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-15T12:00:00Z,8.6,135.9,6.0,2.0,990.0,NaN,NaN,NaN,NaN,50.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180.0,NaN,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-16T00:00:00Z,8.7,134.6,6.0,3.0,975.0,NaN,NaN,NaN,NaN,65.0,95.0,NaN,NaN,NaN,NaN,60.0,NaN,150.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-16T12:00:00Z,9.4,133.1,6.0,3.0,965.0,NaN,NaN,NaN,NaN,75.0,105.0,NaN,NaN,NaN,NaN,NaN,NaN,70.0,NaN,210.0,300.0,300.0,210.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-17T00:00:00Z,10.7,131.1,6.0,4.0,935.0,NaN,NaN,NaN,NaN,95.0,135.0,NaN,NaN,NaN,NaN,NaN,NaN,90.0,NaN,230.0,350.0,350.0,230.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-18T00:00:00Z,12.9,127.8,6.0,4.0,925.0,NaN,NaN,NaN,NaN,100.0,140.0,NaN,50.0,NaN,NaN,160.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-19T00:00:00Z,14.3,126.9,6.0,4.0,915.0,NaN,NaN,NaN,NaN,105.0,150.0,NaN,90.0,NaN,NaN,210.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-20T00:00:00Z,15.7,126.9,6.0,4.0,915.0,NaN,NaN,NaN,NaN,105.0,150.0,NaN,160.0,NaN,NaN,280.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-21T00:00:00Z,17.4,126.4,6.0,4.0,925.0,NaN,NaN,NaN,NaN,100.0,140.0,NaN,230.0,NaN,NaN,340.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-22T00:00:00Z,19.1,126.0,6.0,4.0,940.0,NaN,NaN,NaN,NaN,90.0,130.0,NaN,320.0,NaN,NaN,410.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
