# trackType=Official Forecast Track,baseTime=2021-04-07T00:00:00Z
# DisturbanceId=ID2021_05
# CycloneName=SEROJA
# MathType of Data
(Time->(Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,MeanWind10Percentile,MeanWind25Percentile,MeanWind75Percentile,MeanWind90Percentile,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius))
# Column Headings
Time[fmt=yyyy-MM-dd'T'HH:mm:ss'Z'],Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,MeanWind10Percentile,MeanWind25Percentile,MeanWind75Percentile,MeanWind90Percentile,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius
# Start of data
2021-04-02T00:00:00Z,-9.6,121.8,1.0,0.0,1000.0,NaN,NaN,NaN,NaN,25.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-02T06:00:00Z,-10.4,122.2,1.0,0.0,1003.0,NaN,NaN,NaN,NaN,25.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-02T12:00:00Z,-11.0,122.3,1.0,0.0,1003.0,NaN,NaN,NaN,NaN,25.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-02T18:00:00Z,-11.3,122.7,1.0,0.0,1000.0,NaN,NaN,NaN,NaN,25.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-03T00:00:00Z,-11.7,122.9,1.0,0.0,1000.0,NaN,NaN,NaN,NaN,25.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-03T06:00:00Z,-11.6,123.0,1.0,0.0,1000.0,NaN,NaN,NaN,NaN,25.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-03T12:00:00Z,-11.7,123.8,1.0,0.0,1000.0,NaN,NaN,NaN,NaN,30.0,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-03T18:00:00Z,-10.8,123.5,1.0,0.0,998.0,NaN,NaN,NaN,NaN,30.0,45.0,NaN,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-04T00:00:00Z,-10.9,123.4,1.0,0.0,1000.0,NaN,NaN,NaN,NaN,30.0,45.0,NaN,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-04T06:00:00Z,-10.4,123.2,1.0,0.0,998.0,NaN,NaN,NaN,NaN,30.0,45.0,NaN,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-04T12:00:00Z,-10.3,123.5,1.0,0.0,996.0,NaN,NaN,NaN,NaN,30.0,45.0,NaN,30.0,3.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,60.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-04T18:00:00Z,-10.0,122.7,4.0,1.0,994.0,NaN,NaN,NaN,NaN,35.0,50.0,NaN,30.0,3.5,3.5,NaN,NaN,NaN,NaN,NaN,NaN,60.0,60.0,NaN,NaN,NaN,NaN,NaN,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-05T00:00:00Z,-10.1,122.4,4.0,1.0,991.0,NaN,NaN,NaN,NaN,40.0,55.0,NaN,30.0,3.5,3.5,NaN,NaN,NaN,NaN,NaN,NaN,60.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-05T06:00:00Z,-10.7,121.9,4.0,1.0,989.0,NaN,NaN,NaN,NaN,45.0,65.0,NaN,30.0,4.0,3.5,NaN,NaN,NaN,NaN,40.0,60.0,60.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-05T12:00:00Z,-11.1,121.3,4.0,2.0,985.0,NaN,NaN,NaN,NaN,50.0,70.0,NaN,25.0,3.0,3.0,NaN,NaN,NaN,NaN,70.0,80.0,80.0,70.0,NaN,NaN,NaN,NaN,25.0,25.0,25.0,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-05T18:00:00Z,-11.3,120.4,4.0,2.0,982.0,NaN,NaN,NaN,NaN,55.0,75.0,NaN,35.0,3.5,3.5,NaN,NaN,NaN,NaN,70.0,80.0,80.0,70.0,NaN,NaN,NaN,NaN,30.0,30.0,30.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-06T00:00:00Z,-11.4,119.8,4.0,2.0,985.0,NaN,NaN,NaN,NaN,50.0,70.0,NaN,25.0,3.5,3.5,NaN,NaN,NaN,NaN,80.0,80.0,80.0,80.0,NaN,NaN,NaN,NaN,30.0,30.0,30.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-06T06:00:00Z,-11.4,119.4,4.0,2.0,987.0,NaN,NaN,NaN,NaN,50.0,70.0,NaN,25.0,3.5,3.5,NaN,NaN,NaN,NaN,70.0,70.0,60.0,70.0,NaN,NaN,NaN,NaN,30.0,NaN,NaN,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-06T12:00:00Z,-11.9,119.2,4.0,1.0,991.0,NaN,NaN,NaN,NaN,40.0,55.0,NaN,45.0,2.5,3.0,NaN,NaN,NaN,NaN,70.0,60.0,60.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-06T18:00:00Z,-12.3,118.8,4.0,1.0,995.0,NaN,NaN,NaN,NaN,35.0,50.0,NaN,45.0,2.5,2.5,NaN,NaN,NaN,NaN,60.0,60.0,60.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-07T00:00:00Z,-13.1,118.2,4.0,1.0,996.0,NaN,NaN,NaN,NaN,35.0,50.0,NaN,25.0,2.5,2.5,NaN,NaN,NaN,NaN,50.0,60.0,60.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-07T06:00:00Z,-13.6,117.3,4.0,1.0,996.0,NaN,NaN,NaN,NaN,35.0,50.0,NaN,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-07T12:00:00Z,-14.2,116.4,4.0,1.0,996.0,NaN,NaN,NaN,NaN,35.0,50.0,NaN,55.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-07T18:00:00Z,-14.8,115.6,4.0,1.0,996.0,NaN,NaN,NaN,NaN,40.0,55.0,NaN,65.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-08T00:00:00Z,-15.4,114.8,4.0,1.0,996.0,NaN,NaN,NaN,NaN,40.0,55.0,NaN,75.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-08T12:00:00Z,-16.7,113.5,4.0,2.0,990.0,NaN,NaN,NaN,NaN,50.0,70.0,NaN,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-09T00:00:00Z,-19.3,111.3,4.0,2.0,985.0,NaN,NaN,NaN,NaN,55.0,75.0,NaN,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-09T12:00:00Z,-20.4,110.3,4.0,2.0,980.0,NaN,NaN,NaN,NaN,60.0,85.0,NaN,130.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-10T00:00:00Z,-20.4,110.3,4.0,3.0,975.0,NaN,NaN,NaN,NaN,65.0,90.0,NaN,150.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
